Country,Indicator,latest_value
Barbados,"Share of Employment outside the Formal Sector by status in employment (%), Not classified",84.8
Barbados,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",0.02
Barbados,"Labour Force Participation Rate, female",58.17
Barbados,"Large enterprises, % of all enterprises",3.65
Barbados,Unemployment rate,9.49
Barbados,"Population covered by at least one social protection benefit, total",55.3
Barbados,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Non-agriculture",45.05
Barbados,Government net lending/borrowing as percent of GDP,2.08
Barbados,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",61.6
Barbados,"Informal employment by sex and economic activity (thousands), Female, Agriculture",0.25
Barbados,Human Flight and Brain Drain Score,5.0
Barbados,"Population ages 65 and above, % of total population",16.28
Barbados,"SMEs, % of all enterprises",51.03
Barbados,"Gross Domestic Product (GDP), percent change",1.84
Barbados,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Self-employed",6.92
Barbados,"Share of Informal employment by economic activity (%), Agriculture",74.3
Barbados,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",54.1
Barbados,"Share of Informal employment by status in employment (%), Employees",62.7
Barbados,CSO participatory environment,1.49
Barbados,Government Response Stringency Index,34.07
Barbados,"SME employment, % of total",56.33
Barbados,Air pollution Deaths Attributed to Fossil Fuels,15.0
Barbados,"Share of Informal employment by sex and economic activity (%), Female, Agriculture",59.7
Barbados,"Informal employment by sex and age (thousands), Female, 15 and above",26.87
Barbados,Emission levels associated with GHG target set by (I)NDCs,1.4
Barbados,Coefficient of human inequality,20.79
Barbados,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Agriculture",0.23
Barbados,"Gross Domestic Product (GDP) per capita, percent change",1.58
Barbados,"Informal employment by sex (thousands), Total",54.85
Barbados,"Share of Informal employment by sex and status in employment (%), Male, Self-employed",61.6
Barbados,"Renewable energy consumption, percent of total final energy consumption",4.31
Barbados,Youth Unemployment (% of total labor force ages 15-24),24.49
Barbados,"Population Using at least Basic Drinking-Water Services, total, percent",98.51
Barbados,"Inflation, percent change pre-COVID-19 baseline",2.34
Barbados,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",53.6
Barbados,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),0.49
Barbados,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",24.8
Barbados,"Informal employment by sex and status in employment (thousands), Total, Employees",44.47
Barbados,"Micro Enterprises employment, % of total",4.36
Barbados,Percent of firms formally registered when they started operations in the country,82.8
Barbados,Access to electricity (% of population),100.0
Barbados,"Share of Informal employment by sex and age (%), Female, 25 and above",58.2
Barbados,Climate Vulnerability Ranking,58.0
Barbados,"Informal employment by sex (thousands), Female",26.87
Barbados,"Access to electricity, urban (% of urban population)",100.0
Barbados,"Employment outside the Formal Sector by sex and age (thousands), Female, 25 and above",18.02
Barbados,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1.43
Barbados,Consumption of controlled substance (zero-filled) - Chemical: Total,0.49
Barbados,"Freshwater withdrawal, proportion of available freshwater resources",87.5
Barbados,"Renewable Internal Freshwater Resources per Capita, cubic meters",285.01
Barbados,"Informal employment by sex and age (thousands), Female, 15-64",25.87
Barbados,"Informal employment by sex and age (thousands), Female, 15-24",3.73
Barbados,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",78.0
Barbados,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",169010000.0
Belarus,Labor Freedom,46.3
Belarus,Fiscal Health,83.6
Belarus,Monetary Freedom,62.2
Belarus,Government Integrity,33.0
Belarus,Trade Freedom,70.8
Belarus,Judicial Effectiveness,11.1
Belarus,Government Spending,58.8
Belarus,Financial Freedom,20.0
Belarus,Investment Freedom,30.0
Belarus,Business Freedom,52.9
Belarus,Tax Burden,90.1
Belarus,"Mothers with newborns receiving maternity benefits, Females",100.0
Belarus,Property Rights,22.1
Belarus,"Labour Force Participation Rate, male",75.26
Belarus,"Chemicals Manufacturing, percent of value added",16.08
Belarus,"Rural Population, total",1815531.0
Belarus,Influence and Impact of External Actors in State Functioning,7.6
Belarus,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.92
Belarus,Gini Index,24.4
Belarus,"Employed Covered in the Event of Work Injury, percent",70.9
Belarus,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),1.71
Belarus,Civil society index,0.03
Belarus,Factionalized Elites Score,9.5
Belarus,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",37.45
Belarus,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",6.37
Belarus,Climate Vulnerability Ranking,26.0
Belarus,Share of Parliament Seats Held by Women,34.71
Belarus,Gross National Income Per Capita (2017 PPP$),18425.01
Belarus,Group Divisions in Society Score,5.6
Belarus,"Internet users, total (% of population)",86.89
Belarus,"Unemployment rate, pre-COVID-19 baseline",1.13
Belarus,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",-48317.42
Belarus,Emission levels associated with GHG target set by (I)NDCs,70.32
Belarus,"Proportion of population above statutory pensionable age receiving a pension, female",100.0
Belarus,Refugee population by country or territory of asylum,19715.0
Belarus,"Government Effectiveness Index, percentile rank",21.15
Belarus,Government Response Stringency Index,10.9
Belarus,"Population covered by at least one social protection benefit, total",36.0
Belarus,Refugees and IDPs Score,2.7
Belarus,"Access to internet, percent of population",89.51
Belarus,Human Flight and Brain Drain Score,4.2
Belarus,"Access to water services, percent of population",93.1
Belarus,Inequality-adjusted Human Development Index,0.75
Belarus,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",0.1
Belarus,"Employment in industry, % of total employment",32.55
Belarus,Unemployment rate,3.75
Belarus,Share of Parliament Seats Held by Men,65.29
Belarus,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",1.3
Belarus,Percent of firms formally registered when they started operations in the country,98.1
Belarus,Rule of Law Index,-1.1
Belarus,"Employment in services, % of total employment",59.36
Belarus,Extent of Monopoly on Use of Force,10.0
Belarus,External Peace Score,3.4
Belarus,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",43372881.0
Belarus,Proportion of Labour Force with Advanced Education,83.03
Belarus,LGBTQ+ Equality Index,31.0
Belarus,"Gross Domestic Product (GDP) per capita, percent change",1.26
Belarus,"Proportion of population above statutory pensionable age receiving a pension, total",100.0
Belarus,Climate Risks Index Score,156.17
Belarus,Government net lending/borrowing as percent of GDP,0.26
Belarus,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",-108.26
Belarus,Share of female sole proprietors,36.17
Belarus,Share of female directors of new LLCs,24.92
Belarus,"Carbon dioxide emissions production per capita, tonnes",6.36
Belarus,Youth Unemployment (% of total labor force ages 15-24),11.22
Belarus,"Rule of Law Index, percentile rank",12.98
Belarus,"Employment in agriculture, % of total employment",8.09
Belarus,Voice and Accountability Index,-1.58
Belarus,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,100.0
Belarus,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),1.1
Belarus,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-74.1
Belarus,"Greenhouse Gas (GHG) emissions, MtCO2e",86.3
Belarus,"Gross Domestic Product per capita, purchasing power parity (current international USD)",22550.64
Belarus,"Gross National Income Per Capita, female (2017 PPP$)",14502.49
Belarus,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",-0.37
Belarus,Government Effectiveness Index,-0.77
Belarus,"Population living in slums, % of urban population",2.28
Belarus,"Inflation, percent change",5.01
Belarus,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",190357.8
Belarus,"Gross Domestic Product (GDP), percent change",0.75
Belarus,"Inflation, percent change pre-COVID-19 baseline",3.98
Belarus,"Population, total",9455036.0
Belarus,Percent of firms choosing practices of the informal sector as their biggest obstacle,8.4
Belarus,"Population ages 65 and above, % of total population",17.18
Belarus,Gender Development Index,1.0
Belarus,Human development index (HDI),0.801
Belarus,Percent of firms competing against unregistered or informal firms,20.3
Belarus,Access to clean fuels and technologies for cooking (% of population),99.6
Belarus,"Unemployed Receiving Unemployment Benefits, percent",44.6
Belarus,"Gross National Income Per Capita, male (2017 PPP$)",23021.57
Belarus,Ambient particulate matter pollution exposure,16.42
Belarus,"Population Using at least Basic Sanitation Services, urban, percent",99.56
Belarus,"Human Development Index, female",0.8
Belarus,Coefficient of human inequality,6.25
Belarus,Strength of legal rights index (0=weak to 12=strong),3.0
Belarus,"Population Using at least Basic Drinking-Water Services, urban, percent",99.45
Belarus,"Natural Capital, USD per capita",9504.0
Belarus,CSO participatory environment,-1.29
Belarus,Share of female business owners of new LLCs,25.29
Belarus,"Access to electricity, rural (% of rural population)",100.0
Belarus,"Urban Population, total",7412540.0
Belarus,Consumption of controlled substance (zero-filled) - Chemical: Total,1.1
Belarus,"Proportion of population above statutory pensionable age receiving a pension, male",100.0
Belarus,"Labour Force Participation Rate, female",65.79
Belarus,Security Apparatus Score,5.3
Belarus,Gender Inequality Index,0.1
Belarus,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-3.33
Belarus,Inequality in income,12.7
Belarus,"International Migrant Stock at Mid-Year, total",1067090.0
Belarus,Mean household per capita out-of-pocket health spending ($ 2011 PPP),317.88
Belarus,Fragile States Index,6.76
Belarus,Air pollution Deaths Attributed to Fossil Fuels,10938.0
Belarus,"Freshwater withdrawal, proportion of available freshwater resources",4.38
Belarus,"Human Development Index, male",0.8
Belarus,"Access to electricity, urban (% of urban population)",100.0
Belarus,Access to electricity (% of population),100.0
Belarus,"Renewable energy consumption, percent of total final energy consumption",7.83
Belarus,Economic Inequality Score,68.7
Belarus,Household air pollution from solid fuels,0.01
Belarus,"Renewable Internal Freshwater Resources per Capita, cubic meters",3624.75
Belarus,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",952198.38
Belarus,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),5.47
Belarus,"Forest Area with a Long-Term Management Plan, percentage of total forest area",101.55
Belarus,Forest area (% of land area),43.27
Belarus,"Population Using at least Basic Drinking-Water Services, total, percent",99.18
Belarus,"Forest Area within Legally Established Protected Areas, percentage of total forest area",15.8
Belarus,Climate Change Readiness Score,0.5
Belarus,"Population Using at least Basic Drinking-Water Services, rural, percent",98.07
Belarus,Terrestrial protected areas (% of total land area),13.84
Belarus,"Ores and metals exports, percent of merchandise exports",1.15
Belarus,Climate Risk Index Ranking,166.0
Belarus,Adequacy of social safety net programs (percentage of total welfare of beneficiary households),14.0
Belarus,Number of years firm operated without formal registration,0.1
Belarus,Climate Change Readiness Ranking,58.0
Belgium,Government Response Stringency Index,15.46
Belgium,"Gross Domestic Product (GDP), percent change",1.19
Belgium,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Agriculture",7.1
Belgium,Proportion of Labour Force with Advanced Education,75.53
Belgium,"Share of Informal employment by sex and status in employment (%), Female, Employees",1.1
Belgium,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15-24",8.1
Belgium,"Share of Informal employment by sex and status in employment (%), Male, Employees",1.5
Belgium,Share of Parliament Seats Held by Women,44.29
Belgium,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",38.3
Belgium,"Informal employment by sex and age (thousands), Female, 15-64",65.51
Belgium,"Population Using at least Basic Drinking-Water Services, rural, percent",100.0
Belgium,"Gross Domestic Product (GDP) per capita, percent change",0.86
Belgium,"Informal employment by sex and age (thousands), Male, 25 and above",73.84
Belgium,"Informal employment by age (thousands), 15-64",147.56
Belgium,"Share of Informal employment by sex and economic activity (%), Female, Non-agriculture",2.8
Belgium,"Informal employment age (thousands), 15-24",12.91
Belgium,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15-24",4.7
Belgium,"Rural Population, total",215837.0
Belgium,"Proportion of population above statutory pensionable age receiving a pension, male",100.0
Belgium,Migrant Acceptance Index,77.07
Belgium,"Informal Employment in Non-Agriculture Employment, percent",3.1
Belgium,"Micro Enterprises employment, % of total",34.56
Belgium,"Vulnerable Persons Covered by Social Assistance, percent",100.0
Belgium,"Net debt as percent of Gross Domestic Product (GDP),  pre-COVID-19 baseline",83.52
Belgium,"Informal employment by sex (thousands), Total",152.62
Belgium,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,100.0
Belgium,"Carbon dioxide emissions production per capita, tonnes",8.24
Belgium,"MSME employment, % of total",69.18
Belgium,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",0.2
Belgium,"Labour Force Participation Rate, female",50.8
Belgium,"MSMEs, % of all enterprises",99.85
Belgium,Rule of Law Index,1.33
Belgium,Tax Burden,51.1
Belgium,Property Rights,91.6
Belgium,Trade Freedom,79.2
Belgium,Judicial Effectiveness,91.5
Belgium,Labor Freedom,58.8
Belgium,Government Spending,6.1
Belgium,"Share of Informal employment by sex and age (%), Female, 15 and above",3.0
Belgium,Investment Freedom,85.0
Belgium,Government Integrity,78.9
Belgium,Business Freedom,82.6
Belgium,Fiscal Health,20.0
Belgium,Financial Freedom,70.0
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",66.91
Belgium,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",-81.4
Belgium,Planetary pressures adjusted Human Development Index,0.8
Belgium,Government net lending/borrowing as percent of GDP,-5.45
Belgium,"Share of Employment outside the Formal Sector by sex (%), Female",3.3
Belgium,Monetary Freedom,72.4
Belgium,"Share of Employment outside the Formal Sector by status in employment (%), Self-employed",15.6
Belgium,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",6.79
Belgium,Coefficient of human inequality,6.75
Belgium,Coverage of protected areas in relation to marine areas,96.85
Belgium,Factionalized Elites Score,4.4
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Employees",30.75
Belgium,"Access to electricity, urban (% of urban population)",100.0
Belgium,"Share of Employment outside the Formal Sector by sex and age (%), Female, 25 and above",3.4
Belgium,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",14.76
Belgium,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Non-agriculture",78.03
Belgium,Air pollution Deaths Attributed to Fossil Fuels,7305.0
Belgium,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),2.76
Belgium,"Internet users, total (% of population)",92.79
Belgium,Proporiton of Adults Who Want Lower Immigration Levels,48.45
Belgium,"Share of Informal employment by status in employment (%), Self-employed",17.4
Belgium,"Informal employment by sex and economic activity (thousands), Male, Agriculture",5.29
Belgium,"Informal employment by sex and age (thousands), Male, 15-24",11.42
Belgium,"Informal employment by age (thousands), 15 and above",152.62
Belgium,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",7.55
Belgium,"Share of Employment outside the Formal Sector by status in employment (%), Not classified",32.6
Belgium,"Share of Informal employment by economic activity (%), Agriculture",16.3
Belgium,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",20.43
Belgium,"Unemployment rate, pre-COVID-19 baseline",5.5
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",81.67
Belgium,"Proportion of population above statutory pensionable age receiving a pension, total",100.0
Belgium,"Material footprint per capita, tonnes",26.55
Belgium,Gross National Income Per Capita (2017 PPP$),53644.04
Belgium,"Informal employment by sex and status in employment (thousands), Female, Self-employed",44.28
Belgium,"Share of Informal employment by age (%), 25 and above",3.1
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-64",72.79
Belgium,"Share of Informal employment by sex and economic activity (%), Female, Agriculture",31.3
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-24",10.63
Belgium,"Unemployed Receiving Unemployment Benefits, percent",100.0
Belgium,Gini Index,26.0
Belgium,"Informal employment by sex and status in employment (thousands), Total, Not classified",2.35
Belgium,Terrestrial protected areas (% of total land area),15.55
Belgium,"Informal employment by sex and status in employment (thousands), Male, Not classified",4.2
Belgium,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",21.6
Belgium,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",0.1
Belgium,"Employment in agriculture, % of total employment",0.94
Belgium,CSO participatory environment,2.38
Belgium,"Informal employment by sex (thousands), Male",85.25
Belgium,"Informal employment by sex and age (thousands), Female, 25 and above",65.88
Belgium,"Employed Covered in the Event of Work Injury, percent",63.1
Belgium,"Informal employment by sex and economic activity (thousands), Total, Agriculture",10.16
Belgium,"Informal employment by sex and economic activity (thousands), Total, Non-agriculture",142.46
Belgium,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",1.36
Belgium,Share of Parliament Seats Held by Men,55.71
Belgium,"Share of Informal employment by status in employment (%), Employees",1.3
Belgium,"Employment outside the Formal Sector by sex (thousands), Male",81.67
Belgium,Unemployment rate,5.47
Belgium,Youth Unemployment (% of total labor force ages 15-24),16.27
Belgium,External Peace Score,2.0
Belgium,"Renewable Internal Freshwater Resources per Capita, cubic meters",1039.99
Belgium,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",11.4
Belgium,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-1.47
Belgium,"Share of Informal employment by sex and age (%), Male, 15 and above",3.5
Belgium,"Population ages 65 and above, % of total population",19.73
Belgium,Inequality-adjusted Human Development Index,0.88
Belgium,"Children/Households Receiving Child/Family Cash Benefits, percent",100.0
Belgium,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Not classified",17.6
Belgium,"Share of Informal employment by sex (%), Total",3.3
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Not classified",3.98
Belgium,"Rule of Law Index, percentile rank",88.46
Belgium,"Informal employment by sex and status in employment (thousands), Female, Not classified",3.98
Belgium,Percent of firms choosing practices of the informal sector as their biggest obstacle,6.0
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Self-employed",38.34
Belgium,"Share of Employment outside the Formal Sector by age (%), 15 and above",3.3
Belgium,"Urban Population, total",11469977.0
Belgium,"Informal employment by sex and economic activity (thousands), Male, Non-agriculture",79.96
Belgium,"Micro enterprises, % of all enterprises",96.8
Belgium,"Share of Informal employment by sex and status in employment (%), Male, Not classified",25.2
Belgium,"Access to electricity, rural (% of rural population)",100.0
Belgium,"Share of Informal employment by economic activity (%), Non-agriculture",3.1
Belgium,"Informal employment by age (thousands), 25 and above",139.72
Belgium,"SME employment, % of total",34.62
Belgium,"Access to internet, percent of population",94.01
Belgium,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-57.91
Belgium,Government Effectiveness Index,1.13
Belgium,"Share of Informal employment age (%), 15 and above",3.3
Belgium,"International Migrant Stock at Mid-Year, total",2005479.0
Belgium,"Population Using at least Basic Drinking-Water Services, total, percent",100.0
Belgium,"Share of Employment outside the Formal Sector by sex (%), Male",3.3
Belgium,Climate Change Readiness Ranking,25.0
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Self-employed",48.42
Belgium,Ambient particulate matter pollution exposure,12.67
Belgium,Civil society index,0.91
Belgium,Security Apparatus Score,2.3
Belgium,"Government Effectiveness Index, percentile rank",83.17
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Not classified",2.35
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Female, 25 and above",73.35
Belgium,"Population Using at least Basic Drinking-Water Services, urban, percent",100.0
Belgium,"Share of Employment outside the Formal Sector by sex and age (%), Male, 25 and above",3.1
Belgium,Economic Inequality Score,31.9
Belgium,Gender Inequality Index,0.04
Belgium,"Informal employment by sex and age (thousands), Male, 15 and above",85.25
Belgium,"Informal employment by sex and age (thousands), Female, 15 and above",67.37
Belgium,"Informal employment by sex and status in employment (thousands), Total, Self-employed",96.68
Belgium,Group Divisions in Society Score,3.8
Belgium,Influence and Impact of External Actors in State Functioning,1.0
Belgium,Climate Vulnerability Ranking,35.0
Belgium,"Share of Informal employment by status in employment (%), Not classified",32.6
Belgium,Access to clean fuels and technologies for cooking (% of population),100.0
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-24",11.78
Belgium,"Natural Capital, USD per capita",4260.0
Belgium,"Share of Informal employment by sex and age (%), Female, 15-24",5.6
Belgium,"Informal employment by sex and status in employment (thousands), Male, Employees",30.35
Belgium,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",85942604856.0
Belgium,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",12.8
Belgium,Refugee population by country or territory of asylum,151408.0
Belgium,"Chemicals Manufacturing, percent of value added",35.35
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Total, 15 and above",156.17
Belgium,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Non-agriculture",149.06
Belgium,"Proportion of women subjected to physical and/or sexual violence in the last 12 months, % of women age 15-49",8.0
Belgium,"Share of Informal employment by sex and status in employment (%), Female, Self-employed",25.0
Belgium,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Employees",1.8
Belgium,"Share of Informal employment by sex and status in employment (%), Female, Not classified",17.6
Belgium,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Non-agriculture",3.2
Belgium,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",128457.48
Belgium,"Employment in services, % of total employment",79.69
Belgium,"Informal employment by sex and status in employment (thousands), Total, Employees",53.44
Belgium,"Population Using at least Basic Sanitation Services, urban, percent",99.49
Belgium,"Renewable energy consumption, percent of total final energy consumption",10.21
Belgium,"Share of Informal employment by sex and status in employment (%), Male, Self-employed",13.8
Belgium,"Employment in industry, % of total employment",19.37
Belgium,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",23.0
Belgium,"Share of Informal employment by sex and age (%), Female, 25 and above",3.1
Belgium,"Poverty headcount ratio at $2.15 a day (2017 PPP), % of population",0.1
Belgium,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Non-agriculture",3.2
Belgium,"Informal employment by sex and economic activity (thousands), Female, Agriculture",4.87
Belgium,"Informal employment by sex and economic activity (thousands), Female, Non-agriculture",62.5
Belgium,Inequality in income,11.32
Belgium,"Share of Informal employment by sex and age (%), Male, 25 and above",3.2
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-64",151.26
Belgium,Climate Change Readiness Score,0.6
Belgium,"Medium enterprises, % of all enterprises",0.7
Belgium,"Access to water services, percent of population",99.74
Belgium,Access to electricity (% of population),100.0
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Male, 25 and above",71.04
Belgium,"Freshwater withdrawal, proportion of available freshwater resources",51.58
Belgium,"Forest Area with a Long-Term Management Plan, percentage of total forest area",44.64
Belgium,"Gross Domestic Product per capita, purchasing power parity (current international USD)",65478.45
Belgium,"Informal employment by sex and age (thousands), Female, 15-24",6.38
Belgium,Voice and Accountability Index,1.28
Belgium,Climate Risk Index Ranking,53.0
Belgium,Forest area (% of land area),22.76
Belgium,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",1.5
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Employees",36.16
Belgium,Gender Development Index,0.98
Belgium,"Population covered by at least one social protection benefit, total",100.0
Belgium,"Gross National Income Per Capita, female (2017 PPP$)",43720.35
Belgium,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.05
Belgium,"Inflation, percent change",1.66
Belgium,"Greenhouse Gas (GHG) emissions, MtCO2e",100.27
Belgium,"Gross National Income Per Capita, male (2017 PPP$)",63804.36
Belgium,"Proportion of population above statutory pensionable age receiving a pension, female",100.0
Belgium,"Small enterprises, % of all enterprises",2.35
Belgium,"Informal employment by sex and status in employment (thousands), Female, Employees",23.09
Belgium,"Poor Persons Covered by Social Protection Systems, percent",100.0
Belgium,Strength of legal rights index (0=weak to 12=strong),8.0
Belgium,"Share of Employment outside the Formal Sector by status in employment (%), Employees",1.6
Belgium,"Inflation, percent change pre-COVID-19 baseline",1.82
Belgium,"Ores and metals exports, percent of merchandise exports",3.93
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Self-employed",86.76
Belgium,"Population, total",11715774.0
Belgium,"Share of Informal employment by age (%), 15-24",5.3
Belgium,Human development index (HDI),0.942
Belgium,"Human Development Index, male",0.95
Belgium,Fragile States Index,90.34
Belgium,"Share of Employment outside the Formal Sector by sex (%), Total",3.3
Belgium,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Not classified",4.2
Belgium,LGBTQ+ Equality Index,77.0
Belgium,"Informal employment by sex and status in employment (thousands), Male, Self-employed",52.4
Belgium,"Large Enterprises employment, % of total",30.82
Belgium,"Share of Employment outside the Formal Sector by age (%), 25 and above",3.2
Belgium,Refugees and IDPs Score,2.4
Belgium,"Employment outside the Formal Sector by sex (thousands), Female",74.5
Belgium,"Share of Informal employment by sex and age (%), Male, 15-24",8.7
Belgium,"Forest Area within Legally Established Protected Areas, percentage of total forest area",26.16
Belgium,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Not classified",25.2
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Female, 15 and above",74.5
Belgium,Human Flight and Brain Drain Score,2.6
Belgium,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",3.3
Belgium,Climate Risks Index Score,63.67
Belgium,"Employment outside the Formal Sector by sex (thousands), Total",156.17
Belgium,"Mothers with newborns receiving maternity benefits, Females",100.0
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-24",5.31
Belgium,Net debt as percent of GDP,103.82
Belgium,"Large enterprises, % of all enterprises",0.15
Belgium,"Informal employment by sex and age (thousands), Male, 15-64",82.05
Belgium,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Non-agriculture",71.04
Belgium,"Mean Daily CO2 Emissions Change associated with COVID-19, percent",-27.7
Belgium,"Share of Employment outside the Formal Sector by age (%), 15-24",4.8
Belgium,Mean household per capita out-of-pocket health spending ($ 2011 PPP),823.08
Belgium,"Share of Informal employment by sex and economic activity (%), Male, Agriculture",11.3
Belgium,"SMEs, % of all enterprises",3.05
Belgium,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Agriculture",4.79
Belgium,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15 and above",3.3
Belgium,"Human Development Index, female",0.93
Belgium,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",3.3
Belgium,"Share of Employment outside the Formal Sector by economic activity (%), Non-agriculture",3.2
Belgium,"Share of Informal employment by sex (%), Female",3.0
Belgium,"Informal employment by sex (thousands), Female",67.37
Belgium,"Labour Force Participation Rate, male",59.54
Belgium,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",-8280.93
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-64",78.46
Belgium,Prisoners: Population size estimate,11800.0
Belgium,"Employment outside the Formal Sector by sex and age (thousands), Total, 25 and above",144.39
Belgium,"Share of Informal employment by sex (%), Male",3.5
Belgium,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",868668.88
Belgium,Medical Waste (tons per year),2397368.0
Belize,Tax Burden,82.0
Belize,Trade Freedom,55.2
Belize,Monetary Freedom,70.9
Belize,Property Rights,34.1
Belize,Business Freedom,67.2
Belize,Government Integrity,41.4
Belize,Fiscal Health,64.7
Belize,Government Spending,78.5
Belize,Judicial Effectiveness,71.5
Belize,Financial Freedom,50.0
Belize,Investment Freedom,55.0
Belize,Labor Freedom,64.1
Belize,"Large enterprises, % of all enterprises",7.0
Belize,"MSMEs, % of all enterprises",93.0
